long_name,age,nationality,club,overall
Danny Rose,28,England,Tottenham Hotspur,80
Erik Lamela,27,Argentina,Tottenham Hotspur,80
Raúl García Escudero,32,Spain,Athletic Club de Bilbao,80
Ronaldo  Aparecido Rodrigues,36,Brazil,AS Monaco,80
Daniel Wass,30,Denmark,Valencia CF,80
Sergio Germán Romero,32,Argentina,Manchester United,80
Pedro León Sánchez Gil,32,Spain,SD Eibar,80
Ignacio Piatti,34,Argentina,Montreal Impact,80
David Ospina Ramírez,30,Colombia,Napoli,80
Marcelo Alfonso Díaz Rojas,32,Chile,Racing Club,80
Mathieu Valbuena,34,France,Olympiacos CFP,80
Lars Bender,30,Germany,Bayer 04 Leverkusen,80
Sven Bender,30,Germany,Bayer 04 Leverkusen,80
Etienne Capoue,30,France,Watford,80
Vitorino Gabriel  Pacheco Antunes,32,Portugal,Getafe CF,80
Ralf Fährmann,30,Germany,Norwich City,80
Federico Julián Fazio,32,Argentina,Roma,80
長谷 部誠,35,Japan,Eintracht Frankfurt,80
Sidnei Rechel da Silva Júnior,29,Brazil,Real Betis,80
Diego Perotti,30,Argentina,Roma,80
Lucas David Pratto,31,Argentina,River Plate,80
Sofiane Feghouli,29,Algeria,Galatasaray SK,80
Kieran Trippier,28,England,Atlético Madrid,80
Mateo Pablo Musacchio,28,Argentina,Milan,80
Yann Gérard M'Vila,29,France,AS Saint-Étienne,80
Lars Stindl,30,Germany,Borussia Mönchengladbach,80
Fyodor Smolov,29,Russia,Lokomotiv Moscow,80
Steven N'Kemboanza Mike Christopher Nzonzi,30,France,Galatasaray SK,80
Francis Coquelin,28,France,Valencia CF,80
Givanildo Vieira de Souza,32,Brazil,Shanghai SIPG FC,80
Kevin Strootman,29,Netherlands,Olympique de Marseille,80
Chris Smalling,29,England,Manchester United,80
Kamil Glik,31,Poland,AS Monaco,80
Eduardo Antonio Salvio,28,Argentina,Boca Juniors,80
Danijel Subašić,34,Croatia,AS Monaco,80
Kevin Vogt,27,Germany,TSG 1899 Hoffenheim,80
Roberto Pereyra,28,Argentina,Watford,80
Younès Belhanda,29,Morocco,Galatasaray SK,80
Sergio Enrich Ametller,29,Spain,SD Eibar,80
Dejan Lovren,29,Croatia,Liverpool,80
Simone Verdi,26,Italy,Napoli,80
Luis Fernando Muriel Fruto,28,Colombia,Atalanta,80
Domagoj Vida,30,Croatia,Beşiktaş JK,80
Ibai Gómez Pérez,29,Spain,Athletic Club de Bilbao,80
Steven Berghuis,27,Netherlands,Feyenoord,80
Cristian Tello Herrera,27,Spain,Real Betis,80
Ismaily Gonçalves dos S.,29,Brazil,Shakhtar Donetsk,80
Faouzi Ghoulam,28,Algeria,Napoli,80
Salif Sané,28,Senegal,FC Schalke 04,80
Simone Zaza,28,Italy,Torino,80
Šime Vrsaljko,27,Croatia,Atlético Madrid,80
Alejandro Pozuelo Melero,27,Spain,Toronto FC,80
Raúl Alonso Jiménez Rodríguez,28,Mexico,Wolverhampton Wanderers,80
Bernard  Anício Caldeira Duarte,26,Brazil,Everton,80
Taras Stepanenko,29,Ukraine,Shakhtar Donetsk,80
Franco Armani,32,Argentina,River Plate,80
Iván Marcone,29,Argentina,Boca Juniors,80
Jonathan Rodríguez Menéndez,27,Spain,Lazio,80
Jaime Mata Arnaiz,30,Spain,Getafe CF,80
Moussa Marega,28,Mali,FC Porto,80
Everton Jorge Andrade Zanon,35,Brazil,Fluminense,80
Welington Kauê Dano Nascimento,31,Brazil,Cruzeiro,80
Jorge Ezequiel Serendero,31,Uruguay,Uruguay,80
Matías David Baldona,35,Uruguay,Uruguay,80
Mauro Evidio Nérez,31,Uruguay,Uruguay,80
Vinícius José de Oliveira Júnior,18,Brazil,Real Madrid,79
Rodrigo Bentancur Colmán,22,Uruguay,Juventus,79
Lucas Tolentino Coelho de Lima,21,Brazil,Milan,79
Aaron Wan-Bissaka,21,England,Manchester United,79
Alban Lafont,20,France,FC Nantes,79
Ibrahima Konaté,20,France,RB Leipzig,79
Mikel Merino Zazón,23,Spain,Real Sociedad,79
Sander Berge,21,Norway,KRC Genk,79
Lorenzo Pellegrini,23,Italy,Roma,79
Federico Chiesa,21,Italy,Fiorentina,79
Daniel Olmo Carvajal,21,Spain,Dinamo Zagreb,79
Roman Zobnin,25,Russia,Spartak Moscow,79
Allan Saint-Maximin,22,France,Newcastle United,79
Cristian David Pavón,23,Argentina,LA Galaxy,79
Thilo Kehrer,22,Germany,Paris Saint-Germain,79
Christian Pulisic,20,United States,Chelsea,79
Franck Yannick Kessié,22,Ivory Coast,Milan,79
Achraf Hakimi Mouh,20,Morocco,Borussia Dortmund,79
Diadie Samassékou,23,Mali,TSG 1899 Hoffenheim,79
Marc Roca Junqué,22,Spain,RCD Espanyol,79
Dan-Axel Zagadou,20,France,Borussia Dortmund,79
Viktor Tsygankov,21,Ukraine,Dynamo Kyiv,79
Raúl de Tomás Gómez,24,Spain,SL Benfica,79
Ruben Loftus-Cheek,23,England,Chelsea,79
Stanislav Lobotka,24,Slovakia,RC Celta,79
Jason Denayer,24,Belgium,Olympique Lyonnais,79
Lukas Klostermann,23,Germany,RB Leipzig,79
Alexandr Golovin,23,Russia,AS Monaco,79
Abdou Diallo,23,France,Paris Saint-Germain,79
Benjamin Pavard,23,France,FC Bayern München,79
Milot Rashica,23,Kosovo,SV Werder Bremen,79
Ben Chilwell,22,England,Leicester City,79
Wesley Moraes Ferreira da Silva,22,Brazil,Aston Villa,79
Tomáš Souček,24,Czech Republic,SK Slavia Praha,79
Héctor Junior Firpo Adamés,22,Spain,FC Barcelona,79
James  Ward-Prowse,24,England,Southampton,79
Adnan Januzaj,24,Belgium,Real Sociedad,79
Otávio Edmilson da Silva Monteiro,24,Brazil,FC Porto,79
Niklas Stark,24,Germany,Hertha BSC,79
Alex Iwobi,23,Nigeria,Everton,79
Jean-Philippe Gbamin,23,Ivory Coast,Everton,79
Munir El Haddadi,23,Spain,Sevilla FC,79
José Ángel Esmoris Tasende,22,Spain,Manchester City,79
James Maddison,22,England,Leicester City,79
André Miguel Valente da Silva,23,Portugal,Milan,79
Richarlison de Andrade,22,Brazil,Everton,79
中島 翔哉,24,Japan,FC Porto,79
Raphael Dias Belloli,22,Brazil,Sporting CP,79
Eric Dier,25,England,Tottenham Hotspur,79
Leandro Trossard,24,Belgium,Brighton & Hove Albion,79
Jonathan Castro Otto,25,Spain,Wolverhampton Wanderers,79
Morgan Sanson,24,France,Olympique de Marseille,79
Jefferson Andrés Lerma Solís,24,Colombia,Bournemouth,79
Léo Dubois,24,France,Olympique Lyonnais,79
Florian Grillitsch,23,Austria,TSG 1899 Hoffenheim,79
Leandro Cabrera,27,Uruguay,Getafe CF,79
Ross Barkley,25,England,Chelsea,79
Jeison Fabián Murillo Cerón,27,Colombia,Sampdoria,79
James Tarkowski,26,England,Burnley,79
Loris Karius,26,Germany,Beşiktaş JK,79
Nick Pope,27,England,Burnley,79
John Anthony Brooks,26,United States,VfL Wolfsburg,79
Michy Batshuayi Tunga,25,Belgium,Chelsea,79
Maximilian Arnold,25,Germany,VfL Wolfsburg,79
Sead Kolašinac,26,Bosnia Herzegovina,Arsenal,79
Fabian Schär,27,Switzerland,Newcastle United,79
Ricardo Jorge da Luz Horta,24,Portugal,SC Braga,79
Lucas Alario,26,Argentina,Bayer 04 Leverkusen,79
Mariano Díaz Mejía,25,Dominican Republic,Real Madrid,79
Ruben Aguilar,26,France,AS Monaco,79
Fabián Balbuena,27,Paraguay,West Ham United,79
Shkodran Mustafi,27,Germany,Arsenal,79
Germán Alejandro Pezzella,28,Argentina,Fiorentina,79
Danny  Vieira da Costa,25,Germany,Eintracht Frankfurt,79
Willy Boly,28,France,Wolverhampton Wanderers,79
Ben Davies,26,Wales,Tottenham Hotspur,79
Frederico R. de Paula Santos,26,Brazil,Manchester United,79
Mbwana Ally Samatta,26,Tanzania,KRC Genk,79
Diego Carlos Santos Silva,26,Brazil,Sevilla FC,79
Karl Brillant Toko Ekambi,26,Cameroon,Villarreal CF,79
Andrey Lunev,27,Russia,Russia,79
Ruslan Malinovskyi,26,Ukraine,Atalanta,79
Mamadou Sakho,29,France,Crystal Palace,79
Joshua King,27,Norway,Bournemouth,79
Haris Seferović,27,Switzerland,SL Benfica,79
Víctor Laguardia Cisneros,29,Spain,Deportivo Alavés,79
Phil Jones,27,England,Manchester United,79
Serge Aurier,26,Ivory Coast,Tottenham Hotspur,79
Leonardo Spinazzola,26,Italy,Roma,79
Kenny Lala,27,France,RC Strasbourg Alsace,79
Santiago Arias Naranjo,27,Colombia,Atlético Madrid,79
Daniele Baselli,27,Italy,Torino,79
Téji Savanier,27,France,Montpellier HSC,79
Leonardo Carrilho Baptistão,26,Brazil,Wuhan Zall,79
Joël Veltman,27,Netherlands,Ajax,79
Davide Zappacosta,27,Italy,Chelsea,79
武磊,27,China PR,RCD Espanyol,79
David Villa Sánchez,37,Spain,Vissel Kobe,79
Burak Yılmaz,33,Turkey,Beşiktaş JK,79
Antonio Mirante,35,Italy,Roma,79
Salomon Armand Magloire Kalou,33,Ivory Coast,Hertha BSC,79
Dante Bonfim da Costa Santos,35,Brazil,OGC Nice,79
Mathieu Debuchy,33,France,AS Saint-Étienne,79
Ezequiel Iván Lavezzi,34,Argentina,Hebei China Fortune FC,79
Borja Valero Iglesias,34,Spain,Inter,79
Martin Škrtel,34,Slovakia,Atalanta,79
Jonny Evans,31,Northern Ireland,Leicester City,79
Diego Hernán Váleri,33,Argentina,Portland Timbers,79
Niklas Moisander,33,Finland,SV Werder Bremen,79
Domenico Criscito,32,Italy,Genoa,79
Antonio Candreva,32,Italy,Inter,79
Iván Marcano Sierra,32,Spain,FC Porto,79
Kevin-Prince Boateng,32,Ghana,Fiorentina,79
Augusto Matías Fernández,33,Argentina,Beijing Renhe FC,79
Nahuel Ignacio Guzmán,33,Argentina,Tigres U.A.N.L.,79
Ignacio Monreal Eraso,33,Spain,Arsenal,79
Ángel Luís Rodríguez Díaz,32,Spain,Getafe CF,79
Esteban Félix Granero Molina,31,Spain,RCD Espanyol,79
Éder Citadin Martins,32,Italy,Jiangsu Suning FC,79
Ruud Vormer,31,Netherlands,Club Brugge KV,79
Séamus Coleman,30,Republic of Ireland,Everton,79
Adam David Lallana,31,England,Liverpool,79
Anthony Modeste,31,France,1. FC Köln,79
Max-Alain Gradel,31,Ivory Coast,Toulouse Football Club,79
Yuri Berchiche Izeta,29,Spain,Athletic Club de Bilbao,79
Mariano Ferreira Filho,33,Brazil,Galatasaray SK,79
Ömer Toprak,29,Turkey,SV Werder Bremen,79
Nikola Kalinić,31,Croatia,Atlético Madrid,79
Cristhian Ricardo Stuani Curbelo,32,Uruguay,Girona FC,79
Sven Ulreich,30,Germany,FC Bayern München,79
Kwadwo Asamoah,30,Ghana,Inter,79
Alex Teixeira dos Santos,29,Brazil,Jiangsu Suning FC,79
Senad Lulić,33,Bosnia Herzegovina,Lazio,79
José Salomón Rondón Giménez,29,Venezuela,Dalian YiFang FC,79
香川 真司,30,Japan,Real Zaragoza,79
Jack Wilshere,27,England,West Ham United,79
Vicente Guaita Panadero,32,Spain,Crystal Palace,79
José Ángel Valdés Díaz,29,Spain,SD Eibar,79
Iago Falqué Silva,29,Spain,Torino,79
Javier Matías Pastore,30,Argentina,Roma,79
Maicon Pereira Roque,30,Brazil,Al Nassr,79
Fabián Orellana,33,Chile,SD Eibar,79
艾克森,29,Brazil,Guangzhou Evergrande Taobao FC,79
Enrique García Martínez,29,Spain,SD Eibar,79
Sergio Escudero Palomo,29,Spain,Sevilla FC,79
Mario Gaspar Pérez Martínez,28,Spain,Villarreal CF,79
Iago Herrerín Buisán,31,Spain,Athletic Club de Bilbao,79
Víctor Ruíz Torre,30,Spain,Beşiktaş JK,79
Ishak Belfodil,27,Algeria,TSG 1899 Hoffenheim,79
Andriy Yarmolenko,29,Ukraine,West Ham United,79
Wahbi Khazri,28,Tunisia,AS Saint-Étienne,79
Enzo Pérez,33,Argentina,River Plate,79
Daniel Caligiuri,31,Italy,FC Schalke 04,79
Danilo Luiz da Silva,27,Brazil,Juventus,79
Nicolas Pallois,31,France,FC Nantes,79
Víctor Machín Pérez,29,Spain,Atlético Madrid,79
Milan Badelj,30,Croatia,Fiorentina,79
Anton Ciprian Tătărușanu,33,Romania,Olympique Lyonnais,79
José Luís Mendes Andrade,28,Cape Verde,FC Porto,79
Damián Nicolás Suárez Suárez,31,Uruguay,Getafe CF,79
Roque Mesa Quevedo,30,Spain,CD Leganés,79
Mário Rui Silva Duarte,28,Portugal,Napoli,79
乾 貴士,31,Japan,SD Eibar,79
Denis Cheryshev,28,Russia,Valencia CF,79
Carlos Arturo Bacca Ahumada,32,Colombia,Villarreal CF,79
Andreas Samaris,30,Greece,SL Benfica,79
Jonas Hector,29,Germany,1. FC Köln,79
Rubén Peña Jiménez,27,Spain,Villarreal CF,79
Abderrazak Hamdallah,28,Morocco,Al Nassr,79
Darío Benedetto,29,Argentina,Olympique de Marseille,79
Leonardo Sigali,32,Argentina,Racing Club,79
Raúl Michel Melo da Silva,29,Brazil,SC Braga,79
Petros Matheus dos Santos Araujo,30,Brazil,Al Nassr,79
Dyego Wilverson Ferreira Sousa,29,Portugal,Shenzhen FC,79
Francisco das Chagas Soares dos Santos,28,Brazil,FC Porto,79
Rubén Alcaraz Jiménez,28,Spain,Real Valladolid CF,79
Maikel Renan Catarino Fagundes,35,Brazil,Atlético Mineiro,79
A. Benjamin Chiamuloira Paes,31,Brazil,Internacional,79
Melvin Luan Parrela Porfírio,31,Brazil,CSA - AL,79
Bernard Gabriel Prestão Chaves,27,Brazil,Internacional,79
Luan Vágner Boas Macedo,31,Brazil,Santos,79
Daniel Martín Lenzado,31,Uruguay,Uruguay,79
Enzo Martín Riquero,31,Uruguay,Uruguay,79
Leandro Miguel Sáreda,27,Uruguay,Uruguay,79
Enzo Manuel Aguerro,31,Uruguay,Uruguay,79
Alex Meret,22,Italy,Napoli,78
Ismaïla Sarr,21,Senegal,Watford,78
Declan Rice,20,England,West Ham United,78
Florian Neuhaus,22,Germany,Borussia Mönchengladbach,78
Matías Zaracho,21,Argentina,Racing Club,78
Francisco Reis Ferreira,22,Portugal,SL Benfica,78
Joachim Andersen,23,Denmark,Olympique Lyonnais,78
Denis Lemi Zakaria Lako Lado,22,Switzerland,Borussia Mönchengladbach,78
Issa Diop,22,France,West Ham United,78
Henry Onyekuru,22,Nigeria,AS Monaco,78
Nanitamo Jonathan Ikoné,21,France,LOSC Lille,78
Cengiz Ünder,21,Turkey,Roma,78
Martin Ødegaard,20,Norway,Real Sociedad,78
Jonathan Bamba,23,France,LOSC Lille,78
Nadiem Amiri,22,Germany,Bayer 04 Leverkusen,78
Oleksandr Zinchenko,22,Ukraine,Manchester City,78
Jean-Philippe Mateta,22,France,1. FSV Mainz 05,78
Okay Yokuşlu,25,Turkey,RC Celta,78
Bryan Cristante,24,Italy,Roma,78
Leander Dendoncker,24,Belgium,Wolverhampton Wanderers,78
Mahmoud Dahoud,23,Germany,Borussia Dortmund,78
Nico Elvedi,22,Switzerland,Borussia Mönchengladbach,78
Joelinton Apolinário de Lira,22,Brazil,Newcastle United,78
Daniel Castelo Podence,23,Portugal,Olympiacos CFP,78
Georgiy Dzhikiya,25,Russia,Spartak Moscow,78
Aarón Martín Caricol,22,Spain,1. FSV Mainz 05,78
Enis Bardhi,23,FYR Macedonia,Levante UD,78
Nemanja Maksimović,24,Serbia,Getafe CF,78
Fernando Calero Villa,23,Spain,RCD Espanyol,78
Jack Butland,26,England,Stoke City,78
Óliver Torres Muñoz,24,Spain,Sevilla FC,78
Gaëtan  Laborde,25,France,Montpellier HSC,78
Rodrigo Javier De Paul,25,Argentina,Udinese,78
Davie Selke,24,Germany,Hertha BSC,78
Mario Lemina,25,Gabon,Southampton,78
Divock Origi,24,Belgium,Liverpool,78
Erick Pulgar,25,Chile,Fiorentina,78
Aleksey Miranchuk,23,Russia,Lokomotiv Moscow,78
Wílmar Enrique Barrios Terán,25,Colombia,Colombia,78
Juan Musso,25,Argentina,Udinese,78
Rúben Miguel Nunes Vezo,25,Portugal,Levante UD,78
Baptiste Santamaria,24,France,Angers SCO,78
Yerry Mina,24,Colombia,Everton,78
Joan Jordán Moreno,24,Spain,Sevilla FC,78
Lucas Tousart,22,France,Olympique Lyonnais,78
Yusuf Yazıcı,22,Turkey,LOSC Lille,78
Michael Gregoritsch,25,Austria,FC Augsburg,78
Jamaal Lascelles,25,England,Newcastle United,78
Tonny Emilio Trindade de Vilhena,24,Netherlands,Netherlands,78
Denis Suárez Fernández,25,Spain,RC Celta,78
Karim Rekik,24,Netherlands,Hertha BSC,78
Bertrand Traoré,23,Burkina Faso,Olympique Lyonnais,78
Ibrahim Amadou,26,France,Norwich City,78
Max  Meyer,23,Germany,Crystal Palace,78
José Pedro Malheiro de Sá,26,Portugal,Olympiacos CFP,78
Alexandr Selikhov,25,Russia,Spartak Moscow,78
Aleksandar Mitrović,24,Serbia,Fulham,78
Guillermo Alfonso Maripán Loaysa,25,Chile,Deportivo Alavés,78
Ellyes Skhiri,24,Tunisia,1. FC Köln,78
Denzel Dumfries,23,Netherlands,PSV,78
Bruno Viana Willemen Da Silva,24,Brazil,SC Braga,78
Matz Sels,27,Belgium,RC Strasbourg Alsace,78
Adama Soumaoro,27,France,LOSC Lille,78
Jordan Veretout,26,France,Roma,78
Viktor Fischer,25,Denmark,FC København,78
Soualiho Meïté,25,France,Torino,78
Jean-Paul Boëtius,25,Netherlands,1. FSV Mainz 05,78
Domenico Berardi,24,Italy,Sassuolo,78
Roberto Gagliardini,25,Italy,Inter,78
Renzo Saravia,26,Argentina,FC Porto,78
Ayoze Pérez Gutiérrez,25,Spain,Leicester City,78
Hans Hateboer,25,Netherlands,Atalanta,78
Benjamin Verbič,25,Slovenia,Dynamo Kyiv,78
Gonzalo Nicolás Martínez,26,Argentina,Atlanta United,78
Rafael Tolói,28,Brazil,Atalanta,78
Shane Duffy,27,Republic of Ireland,Brighton & Hove Albion,78
Florian Lejeune,28,France,Newcastle United,78
Lewis Dunk,27,England,Brighton & Hove Albion,78
Pedro Filipe Teodósio Mendes,28,Portugal,Montpellier HSC,78
Fernando Lucas Martins,27,Brazil,Beijing Sinobo Guoan FC,78
Konstantinos Fortounis,26,Greece,Olympiacos CFP,78
Christophe Hérelle,26,France,OGC Nice,78
Omar Mascarell González,26,Spain,FC Schalke 04,78
Armindo Tué Na Bangna,24,Portugal,PSV,78
Simon Deli,27,Ivory Coast,Club Brugge KV,78
Michael Ngadeu,28,Cameroon,KAA Gent,78
Victor Wanyama,28,Kenya,Tottenham Hotspur,78
Christian Kabasele,28,Belgium,Watford,78
Andy Delort,27,Algeria,Montpellier HSC,78
Joel Robles Blázquez,29,Spain,Real Betis,78
Sérgio Miguel Relvas de Oliveira,27,Portugal,FC Porto,78
Vincent Paté Aboubakar,27,Cameroon,FC Porto,78
Mark Uth,27,Germany,FC Schalke 04,78
Matt Doherty,27,Republic of Ireland,Wolverhampton Wanderers,78
David López Silva,29,Spain,RCD Espanyol,78
Remo Freuler,27,Switzerland,Atalanta,78
Diego Demme,27,Germany,RB Leipzig,78
Alexander Schwolow,27,Germany,SC Freiburg,78
Jannik Vestergaard,26,Denmark,Southampton,78
Florent Mollet,27,France,Montpellier HSC,78
Jonas Hofmann,26,Germany,Borussia Mönchengladbach,78
Vincenzo Grifo,26,Italy,TSG 1899 Hoffenheim,78
Flavien Tait,26,France,Stade Rennais FC,78
Diego Laxalt,26,Uruguay,Milan,78
Nikola Maksimović,27,Serbia,Napoli,78
Ander Capa Rodríguez,27,Spain,Athletic Club de Bilbao,78
Bartolomeu Jacinto Quissanga,27,Angola,Lazio,78
Mbaye Diagne,27,Senegal,Galatasaray SK,78
Francisco Guillermo Ochoa Magaña,33,Mexico,Club América,78
Carlos Alberto Tevez,35,Argentina,Boca Juniors,78
José Ernesto Sosa,34,Argentina,Trabzonspor,78
Raffael Caetano de Araújo,34,Brazil,Borussia Mönchengladbach,78
Andrés Eduardo Fernández Moreno,32,Spain,Villarreal CF,78
Javier Horacio Pinola,36,Argentina,River Plate,78
Mauro Matías Zárate,32,Argentina,Boca Juniors,78
Vitorino Hilton da Silva,41,Brazil,Montpellier HSC,78
Guillaume Hoarau,35,France,BSC Young Boys,78
Andreas Granqvist,34,Sweden,Helsingborgs IF,78
Ryan Guno Babel,32,Netherlands,Galatasaray SK,78
Thomas Vermaelen,33,Belgium,Vissel Kobe,78
David Ángel Abraham,32,Argentina,Eintracht Frankfurt,78
Samir Nasri,32,France,RSC Anderlecht,78
Itumeleng Khune,32,South Africa,Kaizer Chiefs,78
Andrea Masiello,33,Italy,Atalanta,78
Ryan Bertrand,29,England,Southampton,78
Jonathan dos Santos Ramírez,29,Mexico,LA Galaxy,78
Gervais Lombe Yao Kouassi,32,Ivory Coast,Parma,78
Nuri Şahin,30,Turkey,SV Werder Bremen,78
Steven Defour,31,Belgium,Burnley,78
Kevin Mirallas,31,Belgium,Everton,78
Manuel Alejandro García Sánchez,33,Spain,Deportivo Alavés,78
Jorge Andújar Moreno,32,Spain,Levante UD,78
Victor Moses,28,Nigeria,Fenerbahçe SK,78
Cristian Daniel Ansaldi,32,Argentina,Torino,78
Simon Mignolet,31,Belgium,Club Brugge KV,78
Héctor Alfredo Moreno Herrera,31,Mexico,Mexico,78
James Tomkins,30,England,Crystal Palace,78
Felipe Salvador Caicedo Corozo,30,Ecuador,Lazio,78
Valter Birsa,32,Slovenia,Cagliari,78
Dieumerci Mbokani Bezua,33,DR Congo,Royal Antwerp FC,78
Cristian Eduardo Zapata Valencia,32,Colombia,Genoa,78
Javier Hernández Balcázar,31,Mexico,West Ham United,78
Papa Kouly Diop,33,Senegal,SD Eibar,78
Miralem Sulejmani,30,Serbia,BSC Young Boys,78
Damien Da Silva,31,France,Stade Rennais FC,78
Marcelo Antônio Guedes Filho,32,Brazil,Olympique Lyonnais,78
Guilherme Alvim Marinato,33,Russia,Lokomotiv Moscow,78
Stevan Jovetić,29,Montenegro,AS Monaco,78
Martín Cáceres,32,Uruguay,Lazio,78
Jose Holebas,35,Greece,Watford,78
Nordin Amrabat,32,Morocco,Al Nassr,78
Troy Deeney,31,England,Watford,78
Ljubomir Fejsa,30,Serbia,SL Benfica,78
Daniel Schwaab,30,Germany,PSV,78
Orestis Karnezis,33,Greece,Napoli,78
Nils Petersen,30,Germany,SC Freiburg,78
Pablo Daniel Piatti,30,Argentina,RCD Espanyol,78
Sandro Wagner,31,Germany,Tianjin TEDA FC,78
Bruno  Soriano Llido,35,Spain,Villarreal CF,78
Adrien Sebastian Perruchet Silva,30,Portugal,Leicester City,78
Mikel San José Domínguez,30,Spain,Athletic Club de Bilbao,78
Daniel Nii Tackie Mensah Welbeck,28,England,Watford,78
Ron-Robert Zieler,30,Germany,Hannover 96,78
Ashley Barnes,29,England,Burnley,78
Artem Dzyuba,30,Russia,Russia,78
Clément Grenier,28,France,Stade Rennais FC,78
Ignacio Camacho Barnola,29,Spain,VfL Wolfsburg,78
Rafael de Souza Pereira,30,Brazil,Tigres U.A.N.L.,78
Alan Douglas Borges de Carvalho,29,Brazil,Tianjin Quanjian FC,78
Ryad Boudebouz,29,Algeria,AS Saint-Étienne,78
Admir Mehmedi,28,Switzerland,VfL Wolfsburg,78
Daniel Filipe Martins Carriço,30,Portugal,Sevilla FC,78
Sebastian Rudy,29,Germany,TSG 1899 Hoffenheim,78
Josef de Souza Dias,30,Brazil,Al Ahli,78
Benjamin Hübner,29,Germany,TSG 1899 Hoffenheim,78
Vicente Iborra de la Fuente,31,Spain,Villarreal CF,78
Julian Baumgartlinger,31,Austria,Bayer 04 Leverkusen,78
Rafael Pereira da Silva,28,Brazil,Olympique Lyonnais,78
Ben Mee,29,England,Burnley,78
Óscar de Marcos Arana,30,Spain,Athletic Club de Bilbao,78
Marwin Hitz,31,Switzerland,Borussia Dortmund,78
Nathaniel Edwin Clyne,28,England,Liverpool,78
Benjamin André,28,France,LOSC Lille,78
Michail Antonio,29,England,West Ham United,78
Pascal Groß,28,Germany,Brighton & Hove Albion,78
Johann  Berg Guðmunds­son,28,Iceland,Burnley,78
Daniel Ginczek,28,Germany,VfL Wolfsburg,78
Steve Cook,28,England,Bournemouth,78
Jaume Vicent Costa Jordá,31,Spain,Valencia CF,78
Roberto Soriano,28,Italy,Bologna,78
Gary Alexis Medel Soto,31,Chile,Beşiktaş JK,78
Daniel Didavi,29,Germany,VfB Stuttgart,78
Hugo Mallo Novegil,28,Spain,RC Celta,78
Andros Townsend,27,England,Crystal Palace,78
Tom Cairney,28,Scotland,Fulham,78
Alfreð Finnbogason,30,Iceland,FC Augsburg,78
Marcelo Nicolás Lodeiro Benítez,30,Uruguay,Seattle Sounders FC,78
Grzegorz Krychowiak,29,Poland,Lokomotiv Moscow,78
Benjamin Stambouli,28,France,FC Schalke 04,78
Kévin Malcuit,27,France,Napoli,78
Manuel Agudo Durán,32,Spain,Sevilla FC,78
Sebastian Rode,28,Germany,Eintracht Frankfurt,78
Agustín Marchesín,31,Argentina,FC Porto,78
Gastón Exequiel Ramírez Pereyra,28,Uruguay,Sampdoria,78
Faustino Marcos Alberto Rojo,29,Argentina,Manchester United,78
Edinaldo Gomes Pereira,30,Brazil,RCD Espanyol,78
Jeffrey Gouweleeuw,27,Netherlands,FC Augsburg,78
